Sesotho (st)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
back	0	0	0	0	0	0	0	0	0	0
abacus	0	0	0	0	0	0	0	0	0	1
tlohela	0	1	0	0	0	1	0	1	0	0
e tlohetsoe	0	1	1	0	0	1	0	1	0	0
ho lahla	0	1	1	0	0	1	0	1	1	0
khaotsa	0	0	0	0	0	0	0	0	0	0
ho fokotseha	0	0	0	0	0	0	0	0	0	0
abba	1	0	0	0	0	0	0	0	0	0
Abbot	0	0	0	0	0	0	0	0	0	1
sefubedu	0	0	0	0	0	0	0	0	0	0
tlhaloso	0	0	0	0	0	0	0	0	0	0
mpa	0	0	0	0	0	0	0	0	0	0
mpa	0	0	0	0	0	0	0	0	0	0
ho nkuoa	0	1	0	0	0	1	0	1	1	0
e hlahelletseng	0	1	0	0	0	0	0	0	0	0
ho senya	0	1	0	0	1	0	0	0	0	0
ho ba mahlahahlaha	0	0	0	0	0	0	0	0	0	0
nyonya	0	1	1	0	1	1	0	0	0	0
e nyonyehang	0	1	1	0	1	1	0	0	0	0
lula	0	0	0	0	0	0	0	0	0	0
bokhoni	1	0	0	0	0	0	0	0	0	0
e sithabetse	0	1	0	0	1	0	0	0	0	0
ho tlohela	0	0	0	0	0	0	0	0	0	0
hlahisa	0	0	0	0	0	0	0	0	0	0
e sa tloaelehang	0	1	0	0	1	0	0	0	0	0
kena	0	0	0	0	0	0	0	0	0	0
a lula	0	0	0	0	0	0	0	0	0	0
felisa	0	1	1	0	0	0	0	0	0	0
ho felisoa	0	1	0	0	0	0	0	0	0	0
e nyonyehang	0	1	0	0	1	1	0	0	0	0
e nyonyehang	0	1	1	0	1	1	0	0	0	0
bo-avorijene	0	0	0	0	0	0	0	0	0	0
ho senya	0	1	0	0	0	0	0	0	0	0
ho nts'a mpa	0	1	0	0	1	1	0	1	0	0
ho nt?a mpa	0	1	0	0	0	0	0	1	0	0
e ngata	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
ho senya	0	1	0	0	0	0	0	0	0	0
hohle	0	0	0	0	0	0	0	0	0	0
hlakola	0	1	0	0	0	0	0	0	0	0
ka t?ohanyetso	0	0	0	0	0	0	0	0	1	0
hang-hang	0	0	0	0	0	0	0	0	0	0
abscess	0	1	0	0	0	0	0	1	0	0
ho se be teng	0	1	0	0	0	1	0	1	0	0
ha e eo	0	1	0	0	0	0	0	1	0	0
ha ho letho	0	1	0	0	0	0	0	1	0	0
ho se be teng	0	1	0	0	0	0	0	0	0	0
absinthe	0	0	0	0	0	0	0	0	0	0
e feletseng	1	0	0	0	0	0	0	0	0	0
ho se lumellane	1	0	0	0	0	0	1	0	0	1
kenngoa	1	0	0	0	0	0	0	0	0	0
